"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2021","1.7739","1.6275","1.8107","1.5962","68.24M","8.89%"
"Sep 30, 2021","1.6290","1.6063","1.6615","1.5725","51.02M","1.44%"
"Sep 29, 2021","1.6060","1.5663","1.7485","1.5512","64.95M","2.53%"
"Sep 28, 2021","1.5663","1.6733","1.7198","1.5540","64.57M","-6.38%"
"Sep 27, 2021","1.6730","1.7747","1.8537","1.6695","78.14M","-5.92%"
"Sep 26, 2021","1.7783","1.7309","1.7783","1.5700","73.88M","2.63%"
"Sep 25, 2021","1.7328","1.7862","1.8134","1.6943","57.33M","-3.12%"
"Sep 24, 2021","1.7887","2.0038","2.0050","1.6849","110.95M","-10.74%"
"Sep 23, 2021","2.0038","1.8453","2.0518","1.7921","100.69M","8.79%"
"Sep 22, 2021","1.8418","1.5737","1.8929","1.5461","85.96M","17.03%"
"Sep 21, 2021","1.5737","1.6733","1.8232","1.5252","97.97M","-5.95%"
"Sep 20, 2021","1.6733","1.9752","1.9760","1.5525","148.43M","-15.29%"
"Sep 19, 2021","1.9752","2.0683","2.1554","1.9444","77.96M","-4.50%"
"Sep 18, 2021","2.0683","1.9249","2.1268","1.8961","83.09M","7.63%"
"Sep 17, 2021","1.9217","2.0375","2.1580","1.8980","91.53M","-5.68%"
"Sep 16, 2021","2.0375","2.0120","2.2217","1.8650","146.60M","1.27%"
"Sep 15, 2021","2.0120","2.0399","2.0860","2.0009","70.01M","-1.20%"
"Sep 14, 2021","2.0363","2.1614","2.2659","1.9881","115.14M","-5.79%"
