"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 26, 2021","1.733","1.673","1.857","1.656","238.99M","3.59%"
"Oct 25, 2021","1.673","1.571","1.682","1.563","122.39M","6.50%"
"Oct 24, 2021","1.571","1.641","1.644","1.526","124.04M","-4.27%"
"Oct 23, 2021","1.641","1.517","1.674","1.498","183.23M","8.19%"
"Oct 22, 2021","1.517","1.504","1.577","1.494","120.17M","0.84%"
"Oct 21, 2021","1.504","1.534","1.627","1.482","153.47M","-1.95%"
"Oct 20, 2021","1.534","1.472","1.548","1.448","117.73M","4.29%"
"Oct 19, 2021","1.471","1.480","1.523","1.439","91.45M","-0.62%"
"Oct 18, 2021","1.480","1.455","1.614","1.443","213.69M","1.72%"
"Oct 17, 2021","1.455","1.507","1.546","1.408","109.35M","-3.27%"
"Oct 16, 2021","1.504","1.593","1.595","1.488","212.08M","-5.59%"
"Oct 15, 2021","1.593","1.265","1.629","1.235","748.75M","25.95%"
"Oct 14, 2021","1.265","1.241","1.289","1.230","80.04M","1.92%"
"Oct 13, 2021","1.241","1.222","1.261","1.190","83.99M","1.55%"
"Oct 12, 2021","1.222","1.243","1.243","1.153","97.93M","-1.68%"
"Oct 11, 2021","1.243","1.243","1.308","1.217","76.73M","-0.25%"
"Oct 10, 2021","1.246","1.352","1.358","1.238","82.20M","-7.71%"
"Oct 09, 2021","1.350","1.344","1.380","1.327","80.96M","0.61%"
"Oct 08, 2021","1.342","1.275","1.437","1.271","203.87M","5.26%"
"Oct 07, 2021","1.275","1.256","1.310","1.230","107.95M","1.50%"
"Oct 06, 2021","1.256","1.316","1.318","1.203","133.69M","-4.54%"
"Oct 05, 2021","1.316","1.276","1.339","1.266","97.50M","3.12%"
"Oct 04, 2021","1.276","1.325","1.325","1.239","126.16M","-3.70%"
"Oct 03, 2021","1.325","1.294","1.344","1.275","114.85M","2.39%"
"Oct 02, 2021","1.294","1.264","1.355","1.223","108.41M","2.37%"
"Oct 01, 2021","1.264","1.128","1.266","1.127","139.90M","12.07%"
"Sep 30, 2021","1.128","1.097","1.147","1.094","91.38M","2.72%"
"Sep 29, 2021","1.098","1.051","1.112","1.044","82.86M","4.49%"
"Sep 28, 2021","1.051","1.084","1.111","1.047","83.94M","-3.08%"
"Sep 27, 2021","1.084","1.122","1.169","1.084","93.71M","-3.45%"
"Sep 26, 2021","1.123","1.122","1.165","1.032","132.72M","0.09%"
"Sep 25, 2021","1.122","1.126","1.144","1.084","91.91M","-0.46%"
"Sep 24, 2021","1.127","1.225","1.230","1.055","168.71M","-8.00%"
"Sep 23, 2021","1.225","1.230","1.244","1.177","111.26M","-0.41%"
"Sep 22, 2021","1.230","1.046","1.233","1.030","184.29M","17.61%"
"Sep 21, 2021","1.046","1.134","1.186","1.018","237.62M","-7.73%"
"Sep 20, 2021","1.134","1.315","1.317","1.098","252.88M","-13.82%"
"Sep 19, 2021","1.316","1.366","1.371","1.302","80.08M","-3.70%"
"Sep 18, 2021","1.366","1.421","1.440","1.337","117.75M","-3.88%"
"Sep 17, 2021","1.421","1.384","1.440","1.303","156.97M","2.69%"
