"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 25, 2021","2.1117","2.0783","2.1752","1.9701","114.48M","1.61%"
"Dec 24, 2021","2.0783","1.8627","2.2342","1.8377","168.95M","11.58%"
"Dec 23, 2021","1.8627","1.5977","1.9083","1.5751","165.60M","16.59%"
"Dec 22, 2021","1.5977","1.4810","1.6602","1.4725","103.82M","7.88%"
"Dec 21, 2021","1.4810","1.3664","1.4900","1.3464","61.29M","8.55%"
"Dec 20, 2021","1.3644","1.4289","1.4442","1.3107","75.20M","-4.51%"
"Dec 19, 2021","1.4289","1.4208","1.4759","1.3920","49.16M","0.57%"
"Dec 18, 2021","1.4208","1.4035","1.5399","1.3545","80.23M","1.28%"
"Dec 17, 2021","1.4028","1.4270","1.4900","1.3342","82.18M","-1.78%"
"Dec 16, 2021","1.4282","1.4785","1.5696","1.4237","97.63M","-3.40%"
"Dec 15, 2021","1.4785","1.3141","1.4957","1.2604","105.64M","12.46%"
"Dec 14, 2021","1.3147","1.2826","1.3342","1.2421","69.76M","2.50%"
"Dec 13, 2021","1.2826","1.4897","1.5058","1.2530","89.17M","-14.05%"
"Dec 12, 2021","1.4922","1.4844","1.5531","1.4372","41.80M","0.52%"
"Dec 11, 2021","1.4844","1.4142","1.4892","1.3885","47.92M","4.96%"
"Dec 10, 2021","1.4142","1.4200","1.5208","1.3840","88.68M","-0.41%"
"Dec 09, 2021","1.4200","1.6443","1.6512","1.4074","71.77M","-13.67%"
"Dec 08, 2021","1.6448","1.5919","1.6448","1.5085","76.87M","3.32%"
"Dec 07, 2021","1.5919","1.5978","1.7191","1.5717","102.58M","-0.46%"
"Dec 06, 2021","1.5993","1.5296","1.6120","1.3470","184.49M","4.56%"
"Dec 05, 2021","1.5296","1.7264","1.7467","1.4866","103.39M","-11.40%"
"Dec 04, 2021","1.7264","1.9821","1.9915","1.1861","252.76M","-12.90%"
"Dec 03, 2021","1.9821","2.0665","2.1588","1.8985","74.82M","-4.08%"
"Dec 02, 2021","2.0665","2.1400","2.1412","2.0256","53.44M","-3.44%"
"Dec 01, 2021","2.1400","2.1370","2.2770","2.1227","70.63M","0.14%"
"Nov 30, 2021","2.1370","2.1597","2.2835","2.0751","84.79M","-1.05%"
"Nov 29, 2021","2.1597","2.1093","2.1869","2.0627","57.68M","2.39%"
"Nov 28, 2021","2.1093","2.0846","2.1176","1.8887","73.58M","1.19%"
"Nov 27, 2021","2.0846","2.1094","2.2157","2.0304","60.94M","-1.18%"
"Nov 26, 2021","2.1094","2.4672","2.5595","2.0100","163.45M","-14.50%"
"Nov 25, 2021","2.4672","2.5912","2.6678","2.4195","114.27M","-4.79%"
"Nov 24, 2021","2.5912","2.3148","2.6100","2.2249","189.29M","11.94%"
"Nov 23, 2021","2.3148","1.9490","2.4524","1.9270","248.03M","18.85%"
"Nov 22, 2021","1.9477","2.0788","2.0854","1.9222","79.96M","-6.31%"
"Nov 21, 2021","2.0788","2.1790","2.1815","2.0083","81.22M","-4.60%"
"Nov 20, 2021","2.1790","2.2617","2.2816","2.0800","86.20M","-3.66%"
"Nov 19, 2021","2.2617","1.8469","2.2639","1.8130","152.96M","22.46%"
"Nov 18, 2021","1.8469","2.1490","2.2228","1.7673","187.33M","-14.18%"
"Nov 17, 2021","2.1521","2.2031","2.3100","2.0792","97.58M","-2.31%"
"Nov 16, 2021","2.2031","2.4706","2.4706","2.0466","124.98M","-10.83%"
"Nov 15, 2021","2.4706","2.5886","2.6148","2.4660","43.79M","-4.56%"
"Nov 14, 2021","2.5886","2.6170","2.6487","2.5121","44.06M","-1.09%"
"Nov 13, 2021","2.6170","2.6313","2.7163","2.5728","50.21M","-0.54%"
"Nov 12, 2021","2.6313","2.6000","2.6753","2.4504","100.64M","1.20%"
"Nov 11, 2021","2.6000","2.6391","2.7283","2.5782","62.77M","-1.87%"
"Nov 10, 2021","2.6496","2.8672","2.9849","2.3338","140.54M","-7.59%"
"Nov 09, 2021","2.8672","3.1632","3.1672","2.8590","86.16M","-9.36%"
